t,x,y,z
31.648,-0.04972298253798151,-0.02764514943994744,5.965113465415846
31.684,-0.05260481617548786,-0.02674453820627953,5.931870901728736
31.716,-0.05305972029793767,-0.029288096558293793,5.924477551776884
31.88,-0.051324071622290426,-0.031223498094412525,5.934604020488268
31.912,-0.04941521726052946,-0.03287366883938398,5.958713725782219
31.948,-0.04941521726052946,-0.03287366883938398,5.958713725782219
32.012,-0.04948123738633894,-0.03282448615809218,5.958515759530952
32.044,-0.04935624259727573,-0.03224699511865614,5.956806583029716
32.112,-0.05122636068026398,-0.03291817116999609,5.961733445702961
32.212,-0.04971760989264814,-0.02667381432136825,5.977953801524363
32.344,-0.04941470065004698,-0.021854650462624713,5.958635901356336
32.44,-0.049061566309324754,-0.022230606975413906,5.95945622393522
32.476,-0.049155911556638184,-0.022018795694837306,5.961309912938309
32.508,-0.04937244690167893,-0.021310023572148677,5.955713592000608
32.64,-0.05379653128470651,-0.02755096705772913,5.996586202802285
32.872,-0.055310355103435814,-0.03742805527980748,5.967536652258172
33.268,-0.05884980973043909,-0.05198897164762679,6.026967753067466
33.332,-0.06022161278567389,-0.05222209704212288,5.999967019449513
33.532,-0.06306643772091104,-0.05472046405594975,6.04394081768536
33.564,-0.06265923013121324,-0.05410805667003803,6.042477930170021
33.596000000000004,-0.06194320239738826,-0.05414353199985172,6.03729861857293
33.892,-0.06354526430789609,-0.046313494627187986,6.041168329924063
34.224,-0.05236866129926934,-0.03520009675392835,6.05589611613705
34.256,-0.05240520789455681,-0.03497083888748371,6.054889743179653
34.324,-0.04669993969832753,-0.02989575286360655,6.056906877624985
34.356,-0.04302632921669001,-0.030571624075864196,6.058474415523812
34.456,-0.04164572504543994,-0.02946044965194585,6.055136132322958
34.62,-0.035056006663423664,-0.02557585185895145,6.061927096093637
34.784,-0.02988604552488114,-0.020512536457969174,6.057645148437419
34.816,-0.028055027507378122,-0.018382703947295412,6.056276509513975
35.148,-0.012331154330822675,-0.006283848433534285,6.075333855148492
35.212,-0.008873946177277192,-0.007797481656223334,6.066843138149339
35.248,-0.005461150986331759,-0.005043917515294916,6.09603953104109
35.28,-0.005278264828948963,-0.005159804423039819,6.108585342010764
35.344,-0.0004232579950473692,-0.005900938426464119,6.087864653318047
35.412,0.004732729524174766,-0.005076487687541513,6.112811141343821
35.476,0.0098227302121363,-0.005743554951134255,6.08604235783596
35.544,0.010950784950645491,-0.005761592240302973,6.092592710010243
35.644,0.013165308310995733,-0.0028656656470650546,6.047365835658299
35.676,0.013150713633264127,-0.001060211209497405,6.077658154719453
35.708,0.016904089650694017,-0.001368702420629653,6.094684775605856
35.84,0.01673205609822013,-0.0016199205680204533,6.096405770379699
35.908,0.01673205609822013,-0.0016199205680204533,6.096405770379699
35.94,0.01673205609822013,-0.0016199205680204533,6.096405770379699
35.972,0.016810426367498247,-0.0016825304415450156,6.0952268088644574
36.004,0.016688671946852182,-0.0014619762454952752,6.1012274769977655
36.04,0.016552527111436496,-0.0014035154937753031,6.096218137358605
36.136,0.012235075564444762,0.00045963767348066966,6.117837821926234
36.204,0.012426534155383294,0.0005983405156176167,6.118535517416357
36.268,0.011833928994913092,-0.00030566662876392337,6.1084948784707835
36.304,0.015805448633052818,0.0004479420689704924,6.111755715457691
36.436,0.016863541435918773,-0.0013180469503725365,6.095446882260249
36.5,0.013192168198845597,0.00074610634554231,6.1363262050188565
36.532,0.013311751905219752,0.0009030341757921036,6.138065042304893
36.7,0.01215645026702408,-0.001251854614697347,6.136372770702231
36.732,0.007403100726997993,-0.006438803598134863,6.136337990340867
36.764,0.007525225648520839,-0.0064296148793360755,6.136455387591437
36.832,0.005248407619620389,-0.005662520192224138,6.144759651045429
36.896,0.005689518515752335,-0.005704111388122091,6.144004035090029
36.928,0.005689518515752335,-0.005704111388122091,6.144004035090029
37.228,0.002216930276284275,0.0008825780959065724,6.136289818622905
37.26,0.0027074769756341936,0.0029768992199889137,6.173801782005454
37.324,0.002695064075642423,0.003591048274689168,6.165234375056737
37.392,0.002326008309992546,0.004461212707674061,6.171555262347373
37.492,-0.0011218734396557341,0.007599741902017802,6.183538147473343
37.556,-0.0028150144075631393,0.008117476237857751,6.162084094616975
37.624,-0.007327937599844861,0.010181255176660164,6.183044030381701
37.688,-0.010226068520132971,0.014319947620472154,6.177063645696143
37.756,-0.01456460817703483,0.01357326339048728,6.161916981304214
37.788,-0.014366703474359059,0.014144671534903253,6.174093995244503
37.92,-0.015826594616436932,0.01430677395624539,6.178271033068223
38.02,-0.01852350027169599,0.015377291264451287,6.173772749234948
38.052,-0.017296403669239038,0.016326006215262333,6.141702775195259
38.084,-0.015826594616436932,0.01430677395624539,6.178271033068223
38.152,-0.015826594616436932,0.01430677395624539,6.178271033068223
38.216,-0.015167265716609818,0.012625038093972337,6.182059202504602
38.248,-0.014243084835632129,0.012513910470255714,6.178161789536224
38.316,-0.0122480421574102,0.008196032294906265,6.167764032599116
38.38,-0.008139268199555133,0.009758723267785728,6.172773407284928
38.416,-0.008440815726173731,0.010237869250800174,6.178140285318491
38.58,-0.008417436022454067,0.004278305605503549,6.1801358141368885
38.612,-0.008361222849148373,0.004353593268877231,6.183828364505053
38.644,-0.008712154330914924,0.0029761141318838742,6.173723793545354
38.712,-0.0073158341924199595,-0.0012645073002795987,6.183173332037044
38.744,-0.006967293356751061,-0.0029901978296960176,6.179258912054492
38.876,-0.004142189993078872,-0.010200629515964963,6.181918283195066
38.944,-0.002418705953142119,-0.013014021414612359,6.1710205483241705
39.008,0.002897029939065143,-0.012629802815690427,6.177288051949351
39.108,0.004586888260627846,-0.013795113475261559,6.175262143671659
39.14,0.004549089293354614,-0.014361225200285004,6.178418847653506
39.34,0.00123360190152526,-0.018733534402858718,6.181856939261265
39.372,0.001964014394847679,-0.01826459411753288,6.182099458446302
39.504,0.004360017876292884,-0.025007273114506113,6.191821500988312
39.604,0.006015943391783782,-0.03167168759676251,6.17566537839566
39.636,0.007222397803963389,-0.031244594541062657,6.176753375771546
39.7,0.0075255895822135795,-0.03249211781275569,6.188938871945537
39.768,0.011513434239257313,-0.033745284510259446,6.222552938697771
39.832,0.013595216571502854,-0.032728351377252524,6.164591590846827
40.032,0.023472771818206086,-0.03474842277716075,6.212380018434813
40.096,0.024997851720330307,-0.030487989857785117,6.19419634265605
