1782297286,-0.00148,0.00128,0.00043,0.99951,-0.02378,-0.01993,0.00376,-0.00170,0.00154,0.00401,
1782297286,-0.00158,0.00143,0.00087,0.99934,-0.02831,-0.02214,0.00504,-0.00565,0.00551,0.02781,
1782297286,-0.00202,0.00116,0.00272,0.99906,-0.03463,-0.02542,0.00616,-0.01854,-0.01695,0.06401,
1782297286,-0.00286,0.00037,0.00540,0.99875,-0.04004,-0.02931,0.00667,-0.02900,-0.02689,0.08714,
1782297286,-0.00381,-0.00105,0.00996,0.99846,-0.04295,-0.03413,0.00774,-0.03493,-0.04997,0.13281,
1782297286,-0.00470,-0.00237,0.01345,0.99835,-0.04190,-0.03829,0.00868,-0.04130,-0.05973,0.14589,
1782297286,-0.00652,-0.00513,0.01991,0.99825,-0.03534,-0.04640,0.01021,-0.05062,-0.08084,0.18247,
1782297286,-0.00826,-0.00801,0.02643,0.99807,-0.02762,-0.05418,0.01225,-0.05915,-0.09708,0.21973,
1782297286,-0.01022,-0.01113,0.03372,0.99778,-0.02031,-0.06169,0.01486,-0.07181,-0.11063,0.26128,
1782297286,-0.01317,-0.01560,0.04453,0.99727,-0.01362,-0.07024,0.01840,-0.08706,-0.12922,0.32071,
1782297286,-0.01584,-0.01950,0.05483,0.99687,-0.00989,-0.07536,0.02191,-0.09817,-0.13478,0.36372,
1782297286,-0.00763,-0.00092,0.03544,0.99648,-0.00753,-0.07909,0.02689,-0.11242,-0.14746,0.41791,
1782297286,-0.01119,-0.00588,0.04952,0.99634,-0.00701,-0.07954,0.03060,-0.11623,-0.14861,0.44126,
1782297286,-0.01535,-0.01121,0.06592,0.99643,-0.00809,-0.07665,0.03457,-0.12540,-0.15170,0.46539,
1782297287,-0.01948,-0.01674,0.08356,0.99670,-0.00955,-0.07083,0.03841,-0.12820,-0.14878,0.48369,
1782297287,-0.02355,-0.02195,0.10153,0.99708,-0.01305,-0.06231,0.04206,-0.12871,-0.14796,0.49668,
1782297287,-0.02624,-0.02506,0.11202,0.99732,-0.01459,-0.05631,0.04443,-0.12690,-0.14583,0.49223,
1782297287,-0.03071,-0.02999,0.12949,0.99766,-0.01646,-0.04549,0.04836,-0.12917,-0.13776,0.49592,
1782297287,-0.03511,-0.03495,0.14708,0.99788,-0.01863,-0.03425,0.05219,-0.12546,-0.14516,0.49869,
1782297287,-0.03881,-0.04008,0.16672,0.99797,-0.02016,-0.02337,0.05571,-0.12071,-0.14019,0.51490,
1782297287,-0.04327,-0.04564,0.18678,0.99792,-0.02187,-0.01312,0.05917,-0.11824,-0.15251,0.52000,
1782297287,-0.04650,-0.05021,0.20252,0.99786,-0.02201,-0.00646,0.06127,-0.12243,-0.15975,0.52347,
1782297287,-0.04995,-0.05514,0.21903,0.99778,-0.02146,-0.00064,0.06308,-0.12824,-0.16833,0.53000,
1782297287,-0.05584,-0.06350,0.24404,0.99769,-0.01858,0.00597,0.06501,-0.13568,-0.19195,0.53686,
1782297287,-0.05914,-0.06830,0.25719,0.99768,-0.01651,0.00818,0.06555,-0.14029,-0.20505,0.54958,
